away_score,away_team,date,home_score,home_team,league,match_id,odds_data,raw_data,source,static_id,status,time,venue
?,Racing Club 2,Aug 05,?,Boca Juniors 2,Argentina: Reserve League - Clausura,6315717,,"{""@status"": ""21:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""21:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": """", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3656839"", ""@fix_id"": ""4164212"", ""@id"": ""6315717"", ""localteam"": {""@name"": ""Boca Juniors 2"", ""@goals"": ""?"", ""@id"": ""36050""}, ""visitorteam"": {""@name"": ""Racing Club 2"", ""@goals"": ""?"", ""@id"": ""36046""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3656839,21:00,21:00,
1,Hayq,Aug 05,0,Andranik,Armenia: First League,6291544,,"{""@status"": ""64"", ""@timer"": ""64"", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""12:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": """", ""@v"": ""0"", ""@coveredLive"": ""False"", ""@static_id"": """", ""@fix_id"": """", ""@id"": ""6291544"", ""localteam"": {""@name"": ""Andranik"", ""@goals"": ""0"", ""@id"": ""38572""}, ""visitorteam"": {""@name"": ""Hayq"", ""@goals"": ""1"", ""@id"": ""42470""}, ""events"": {""event"": {""@type"": ""goal"", ""@minute"": ""39"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""I. Williams"", ""@result"": ""[0 - 1]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62915441""}}, ""ht"": {""@score"": ""[0-1]""}}",sport_soccernew/home,,64,12:00,
1,Ararat Yerevan 2,Aug 05,1,Bentonit,Armenia: First League,6291546,,"{""@status"": ""49"", ""@timer"": ""49"", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""12:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Vanadzor Stadium"", ""@v"": ""0"", ""@coveredLive"": ""True"", ""@static_id"": ""3715774"", ""@fix_id"": ""4223169"", ""@id"": ""6291546"", ""localteam"": {""@name"": ""Bentonit"", ""@goals"": ""1"", ""@id"": ""41092""}, ""visitorteam"": {""@name"": ""Ararat Yerevan 2"", ""@goals"": ""1"", ""@id"": ""6087""}, ""events"": {""event"": [{""@type"": ""goal"", ""@minute"": ""15"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""J. J. Ekong"", ""@result"": ""[1 - 0]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62915461""}, {""@type"": ""goal"", ""@minute"": ""38"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""T. Sargsyan"", ""@result"": ""[1 - 1]"", ""@playerId"": ""699149"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62915462""}]}, ""ht"": {""@score"": ""[1-1]""}}",sport_soccernew/home,3715774,49,12:00,Vanadzor Stadium
0,Araks Ararat,Aug 05,0,Syunik,Armenia: First League,6291549,,"{""@status"": ""58"", ""@timer"": ""58"", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""12:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Gandzasar Stadium"", ""@v"": ""0"", ""@coveredLive"": ""True"", ""@static_id"": ""3715775"", ""@fix_id"": ""4223170"", ""@id"": ""6291549"", ""localteam"": {""@name"": ""Syunik"", ""@goals"": ""0"", ""@id"": ""6095""}, ""visitorteam"": {""@name"": ""Araks Ararat"", ""@goals"": ""0"", ""@id"": ""41097""}, ""events"": null, ""ht"": {""@score"": ""[0-0]""}}",sport_soccernew/home,3715775,58,12:00,Gandzasar Stadium
?,Mika Jerevan,Aug 05,?,Ararat-Armenia 2,Armenia: First League,6291545,,"{""@status"": ""13:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""13:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Yerevan Football Academy"", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3715776"", ""@fix_id"": ""4223171"", ""@id"": ""6291545"", ""localteam"": {""@name"": ""Ararat-Armenia 2"", ""@goals"": ""?"", ""@id"": ""29864""}, ""visitorteam"": {""@name"": ""Mika Jerevan"", ""@goals"": ""?"", ""@id"": ""6103""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3715776,13:00,13:00,Yerevan Football Academy
?,Eastern Suburbs,Aug 05,?,Sunshine Coast Wanderers,Australia: Npl Queensland,5993745,,"{""@status"": ""09:45"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""09:45"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Ballinger Park"", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3622646"", ""@fix_id"": ""4130012"", ""@id"": ""5993745"", ""localteam"": {""@name"": ""Sunshine Coast Wanderers"", ""@goals"": ""?"", ""@id"": ""6266""}, ""visitorteam"": {""@name"": ""Eastern Suburbs"", ""@goals"": ""?"", ""@id"": ""6184""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3622646,09:45,09:45,Ballinger Park
2,Olympic Kingsway,Aug 05,3,Balcatta,Australia: Npl Western Australia,6267472,,"{""@status"": ""FT"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""11:00"", ""@commentary_available"": """", ""@venue"": """", ""@v"": ""150"", ""@static_id"": """", ""@fix_id"": """", ""@id"": ""6267472"", ""localteam"": {""@name"": ""Balcatta"", ""@goals"": ""3"", ""@id"": ""17795""}, ""visitorteam"": {""@name"": ""Olympic Kingsway"", ""@goals"": ""2"", ""@id"": ""32628""}, ""events"": {""event"": [{""@type"": ""goal"", ""@minute"": ""22"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""J. Stynes"", ""@result"": ""[1 - 0]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62674721""}, {""@type"": ""goal"", ""@minute"": ""31"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""R. Griffiths"", ""@result"": ""[2 - 0]"", ""@playerId"": ""31060"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62674722""}, {""@type"": ""goal"", ""@minute"": ""34"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""M. Tomassone"", ""@result"": ""[3 - 0]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62674723""}, {""@type"": ""goal"", ""@minute"": ""67"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""L. Boland"", ""@result"": ""[3 - 1]"", ""@playerId"": ""457997"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62674724""}, {""@type"": ""goal"", ""@minute"": ""80"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""R. Lowry"", ""@result"": ""[3 - 2]"", ""@playerId"": ""464871"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62674725""}]}, ""ht"": {""@score"": ""[3-0]""}, ""ft"": {""@score"": ""[3-2]""}}",sport_soccernew/home,,FT,11:00,
2,Floreat Athena,Aug 05,2,Sorrento,Australia: Npl Western Australia,6220384,,"{""@status"": ""FT"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""11:00"", ""@commentary_available"": """", ""@venue"": """", ""@v"": ""150"", ""@static_id"": """", ""@fix_id"": """", ""@id"": ""6220384"", ""localteam"": {""@name"": ""Sorrento"", ""@goals"": ""2"", ""@id"": ""6257""}, ""visitorteam"": {""@name"": ""Floreat Athena"", ""@goals"": ""2"", ""@id"": ""6191""}, ""events"": {""event"": [{""@type"": ""goal"", ""@minute"": ""12"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""F. Villa"", ""@result"": ""[1 - 0]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62203841""}, {""@type"": ""goal"", ""@minute"": ""27"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": """", ""@result"": ""[1 - 1]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62203842""}, {""@type"": ""goal"", ""@minute"": ""71"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""A. Mathet"", ""@result"": ""[1 - 2]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62203843""}, {""@type"": ""goal"", ""@minute"": ""80"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""C. Gibbs"", ""@result"": ""[2 - 2]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62203844""}]}, ""ht"": {""@score"": ""[1-1]""}, ""ft"": {""@score"": ""[2-2]""}}",sport_soccernew/home,,FT,11:00,
2,West Wallsend,Aug 05,1,Lake Macquarie,Australia: Northern Nsw State League,6200856,,"{""@status"": ""FT"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""08:30"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": """", ""@v"": ""120"", ""@coveredLive"": ""True"", ""@static_id"": """", ""@fix_id"": """", ""@id"": ""6200856"", ""localteam"": {""@name"": ""Lake Macquarie"", ""@goals"": ""1"", ""@id"": ""6207""}, ""visitorteam"": {""@name"": ""West Wallsend"", ""@goals"": ""2"", ""@id"": ""6284""}, ""events"": {""event"": [{""@type"": ""goal"", ""@minute"": ""19"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""S. Marr"", ""@result"": ""[0 - 1]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62008561""}, {""@type"": ""goal"", ""@minute"": ""27"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""J. Bower"", ""@result"": ""[0 - 2]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62008562""}, {""@type"": ""goal"", ""@minute"": ""53"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": """", ""@result"": ""[1 - 2]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62008563""}]}, ""ht"": {""@score"": ""[0-2]""}, ""ft"": {""@score"": ""[1-2]""}}",sport_soccernew/home,,FT,08:30,
0,Thornton Redbacks,Aug 05,2,Cessnock City Hornets,Australia: Northern Nsw State League,6200857,,"{""@status"": ""FT"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""10:00"", ""@commentary_available"": """", ""@venue"": """", ""@v"": ""150"", ""@static_id"": """", ""@fix_id"": """", ""@id"": ""6200857"", ""localteam"": {""@name"": ""Cessnock City Hornets"", ""@goals"": ""2"", ""@id"": ""39922""}, ""visitorteam"": {""@name"": ""Thornton Redbacks"", ""@goals"": ""0"", ""@id"": ""39920""}, ""events"": {""event"": [{""@type"": ""goal"", ""@minute"": ""10"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""S. Baker"", ""@result"": ""[1 - 0]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62008571""}, {""@type"": ""goal"", ""@minute"": ""50"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""L. Hurst"", ""@result"": ""[2 - 0]"", ""@playerId"": ""943550"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""62008572""}]}, ""ht"": {""@score"": ""[1-0]""}, ""ft"": {""@score"": ""[2-0]""}}",sport_soccernew/home,,FT,10:00,
