away_score,away_team,date,home_score,home_team,league,match_id,odds_data,raw_data,source,static_id,status,time,venue
?,Sevlievo,Aug 05,?,Etar,Bulgaria: Vtora Liga,6220907,,"{""@status"": ""17:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""17:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Stadion Ivailo"", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3709105"", ""@fix_id"": ""4216499"", ""@id"": ""6220907"", ""localteam"": {""@name"": ""Etar"", ""@goals"": ""?"", ""@id"": ""7718""}, ""visitorteam"": {""@name"": ""Sevlievo"", ""@goals"": ""?"", ""@id"": ""24856""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3709105,17:00,17:00,Stadion Ivailo
0,CD Santa Cruz,Aug 04,1,D. Concepcion,Chile: Liga De Ascenso,6309852,,"{""@status"": ""FT"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 04"", ""@formatted_date"": ""04.08.2025"", ""@time"": ""23:30"", ""@commentary_available"": """", ""@venue"": ""Estadio Municipal Alcaldesa Ester Roa Rebolledo"", ""@v"": ""150"", ""@static_id"": ""3696063"", ""@fix_id"": ""4203447"", ""@id"": ""6309852"", ""localteam"": {""@name"": ""D. Concepcion"", ""@goals"": ""1"", ""@id"": ""7979""}, ""visitorteam"": {""@name"": ""CD Santa Cruz"", ""@goals"": ""0"", ""@id"": ""7987""}, ""events"": {""event"": [{""@type"": ""yellowcard"", ""@minute"": ""18"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""S. Silva"", ""@result"": """", ""@playerId"": ""174288"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63098521""}, {""@type"": ""yellowcard"", ""@minute"": ""26"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""J. Dobboletta"", ""@result"": """", ""@playerId"": ""351709"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63098522""}, {""@type"": ""yellowcard"", ""@minute"": ""42"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""N. A. Rivera Faundez"", ""@result"": """", ""@playerId"": ""396046"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63098523""}, {""@type"": ""subst"", ""@minute"": ""46"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""M. Moreno"", ""@result"": """", ""@playerId"": """", ""@assist"": ""C. Moreno"", ""@assistid"": """", ""@eventid"": ""63098524""}, {""@type"": ""goal"", ""@minute"": ""50"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""N. Astete"", ""@result"": ""[1 - 0]"", ""@playerId"": ""476526"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63098525""}, {""@type"": ""subst"", ""@minute"": ""59"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""G. Rodriguez"", ""@result"": """", ""@playerId"": ""181038"", ""@assist"": ""R. Sandoval"", ""@assistid"": """", ""@eventid"": ""63098526""}, {""@type"": ""subst"", ""@minute"": ""59"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""S. Contreras"", ""@result"": """", ""@playerId"": ""650049"", ""@assist"": ""I. Caroca"", ""@assistid"": ""230424"", ""@eventid"": ""63098527""}, {""@type"": ""subst"", ""@minute"": ""68"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""N. Fuentes"", ""@result"": """", ""@playerId"": """", ""@assist"": ""F. Manzo"", ""@assistid"": ""479005"", ""@eventid"": ""63098528""}, {""@type"": ""subst"", ""@minute"": ""68"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""U. Ojeda"", ""@result"": """", ""@playerId"": """", ""@assist"": ""C. Morales"", ""@assistid"": """", ""@eventid"": ""63098529""}, {""@type"": ""subst"", ""@minute"": ""71"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""J. Carreno"", ""@result"": """", ""@playerId"": ""290524"", ""@assist"": ""D. Urzua"", ""@assistid"": ""452737"", ""@eventid"": ""630985210""}, {""@type"": ""subst"", ""@minute"": ""75"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""B. Valdivia"", ""@result"": """", ""@playerId"": ""408491"", ""@assist"": ""J. Ovalle"", ""@assistid"": ""657444"", ""@eventid"": ""630985211""}, {""@type"": ""yellowcard"", ""@minute"": ""76"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""U. Ojeda"", ""@result"": """", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""630985212""}, {""@type"": ""subst"", ""@minute"": ""77"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""M. Belmar"", ""@result"": """", ""@playerId"": ""602798"", ""@assist"": ""M. Maturana"", ""@assistid"": ""871607"", ""@eventid"": ""630985213""}, {""@type"": ""yellowcard"", ""@minute"": ""81"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""J. Pino Villalon"", ""@result"": """", ""@playerId"": ""164143"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""630985214""}, {""@type"": ""yellowcard"", ""@minute"": ""90"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""B. Valdivia"", ""@result"": """", ""@playerId"": ""408491"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""630985215""}, {""@type"": ""subst"", ""@minute"": ""90"", ""@extra_min"": ""4"", ""@team"": ""localteam"", ""@player"": ""C. Escobar"", ""@result"": """", ""@playerId"": ""114381"", ""@assist"": ""J. Larrivey"", ""@assistid"": ""17862"", ""@eventid"": ""630985216""}, {""@type"": ""yellowcard"", ""@minute"": ""90"", ""@extra_min"": ""4"", ""@team"": ""visitorteam"", ""@player"": ""C. Castillo"", ""@result"": """", ""@playerId"": ""696187"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""630985217""}]}, ""ht"": {""@score"": ""[0-0]""}, ""ft"": {""@score"": ""[1-0]""}}",sport_soccernew/home,3696063,FT,23:30,Estadio Municipal Alcaldesa Ester Roa Rebolledo
2,Barranquilla,Aug 04,2,Leones,Colombia: Primera B - Clausura,6307073,,"{""@status"": ""FT"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 04"", ""@formatted_date"": ""04.08.2025"", ""@time"": ""23:05"", ""@commentary_available"": """", ""@venue"": ""Estadio Metropolitano de Itag\u00fc\u00ed"", ""@v"": ""150"", ""@static_id"": ""3698820"", ""@fix_id"": ""4206209"", ""@id"": ""6307073"", ""localteam"": {""@name"": ""Leones"", ""@goals"": ""2"", ""@id"": ""25449""}, ""visitorteam"": {""@name"": ""Barranquilla"", ""@goals"": ""2"", ""@id"": ""8128""}, ""events"": {""event"": [{""@type"": ""yellowcard"", ""@minute"": ""2"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""A. Gonzalez"", ""@result"": """", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63070731""}, {""@type"": ""yellowcard"", ""@minute"": ""14"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""J. Cortez"", ""@result"": """", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63070732""}, {""@type"": ""goal"", ""@minute"": ""35"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""J. Ruiz"", ""@result"": ""[1 - 0]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63070733""}, {""@type"": ""subst"", ""@minute"": ""46"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""W. Mosquera"", ""@result"": """", ""@playerId"": """", ""@assist"": ""J. J. Velez Carey"", ""@assistid"": ""688745"", ""@eventid"": ""63070734""}, {""@type"": ""subst"", ""@minute"": ""46"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""F. Correa"", ""@result"": """", ""@playerId"": """", ""@assist"": ""J. Cortez"", ""@assistid"": """", ""@eventid"": ""63070735""}, {""@type"": ""yellowcard"", ""@minute"": ""53"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""J. Arteaga"", ""@result"": """", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63070736""}, {""@type"": ""goal"", ""@minute"": ""55"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""M. B. Carabali Lopez"", ""@result"": ""[1 - 1]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63070737""}, {""@type"": ""subst"", ""@minute"": ""59"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""Ortiz Javier"", ""@result"": """", ""@playerId"": """", ""@assist"": ""Y. D. Garcia Garces"", ""@assistid"": """", ""@eventid"": ""63070738""}, {""@type"": ""subst"", ""@minute"": ""62"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""A. Ceballos"", ""@result"": """", ""@playerId"": """", ""@assist"": ""J. Arteaga"", ""@assistid"": """", ""@eventid"": ""63070739""}, {""@type"": ""subst"", ""@minute"": ""62"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""S. Guzman"", ""@result"": """", ""@playerId"": """", ""@assist"": ""A. Gonzalez"", ""@assistid"": """", ""@eventid"": ""630707310""}, {""@type"": ""goal"", ""@minute"": ""67"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""L. Berdugo"", ""@result"": ""[1 - 2]"", ""@playerId"": ""692998"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""630707311""}, {""@type"": ""subst"", ""@minute"": ""69"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""J. J. Alvarez"", ""@result"": """", ""@playerId"": """", ""@assist"": ""D. Garcia"", ""@assistid"": """", ""@eventid"": ""630707312""}, {""@type"": ""subst"", ""@minute"": ""69"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""J. Romero"", ""@result"": """", ""@playerId"": """", ""@assist"": ""J. Torres"", ""@assistid"": """", ""@eventid"": ""630707313""}, {""@type"": ""goal"", ""@minute"": ""75"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""A. Ceballos"", ""@result"": ""[2 - 2]"", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""630707314""}, {""@type"": ""subst"", ""@minute"": ""78"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""M. Bolivar"", ""@result"": """", ""@playerId"": """", ""@assist"": ""S. Caballero"", ""@assistid"": """", ""@eventid"": ""630707315""}, {""@type"": ""subst"", ""@minute"": ""78"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""M. Bacca"", ""@result"": """", ""@playerId"": ""853069"", ""@assist"": ""C. Cantillo"", ""@assistid"": ""653637"", ""@eventid"": ""630707316""}, {""@type"": ""subst"", ""@minute"": ""82"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""B. Rodas"", ""@result"": """", ""@playerId"": """", ""@assist"": ""J. Renteria"", ""@assistid"": """", ""@eventid"": ""630707317""}]}, ""ht"": {""@score"": ""[1-0]""}, ""ft"": {""@score"": ""[2-2]""}}",sport_soccernew/home,3698820,FT,23:05,Estadio Metropolitano de Itagüí
0,Real Cundinamarca,Aug 05,0,Cartagena,Colombia: Primera B - Clausura,6309859,,"{""@status"": ""FT"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""01:10"", ""@commentary_available"": """", ""@venue"": ""Estadio Ol\u00edmpico Jaime Mor\u00f3n Le\u00f3n"", ""@v"": ""150"", ""@static_id"": ""3698822"", ""@fix_id"": ""4206211"", ""@id"": ""6309859"", ""localteam"": {""@name"": ""Cartagena"", ""@goals"": ""0"", ""@id"": ""8155""}, ""visitorteam"": {""@name"": ""Real Cundinamarca"", ""@goals"": ""0"", ""@id"": ""38551""}, ""events"": {""event"": [{""@type"": ""yellowcard"", ""@minute"": ""4"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""C. Castano"", ""@result"": """", ""@playerId"": ""533378"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63098591""}, {""@type"": ""yellowcard"", ""@minute"": ""36"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""A. Moralez"", ""@result"": """", ""@playerId"": ""617115"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63098592""}, {""@type"": ""yellowcard"", ""@minute"": ""39"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""S. Moreno"", ""@result"": """", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63098593""}, {""@type"": ""yellowcard"", ""@minute"": ""42"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""S. P. Barbosa Gomez"", ""@result"": """", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63098594""}, {""@type"": ""subst"", ""@minute"": ""46"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""A. Rocha"", ""@result"": """", ""@playerId"": """", ""@assist"": ""L. Montano"", ""@assistid"": """", ""@eventid"": ""63098595""}, {""@type"": ""subst"", ""@minute"": ""46"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""J. Cortes"", ""@result"": """", ""@playerId"": """", ""@assist"": ""C. Castano"", ""@assistid"": ""533378"", ""@eventid"": ""63098596""}, {""@type"": ""yellowcard"", ""@minute"": ""50"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""O. Acosta"", ""@result"": """", ""@playerId"": ""653868"", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""63098597""}, {""@type"": ""subst"", ""@minute"": ""58"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""M. Murillo"", ""@result"": """", ""@playerId"": ""260753"", ""@assist"": ""J. Leudo"", ""@assistid"": ""75410"", ""@eventid"": ""63098598""}, {""@type"": ""subst"", ""@minute"": ""68"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""A. Rodriguez"", ""@result"": """", ""@playerId"": ""209273"", ""@assist"": ""I. Pereira"", ""@assistid"": ""556801"", ""@eventid"": ""63098599""}, {""@type"": ""subst"", ""@minute"": ""68"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""J. J. Ditta Ruiz"", ""@result"": """", ""@playerId"": """", ""@assist"": ""W. De La Rosa"", ""@assistid"": ""296064"", ""@eventid"": ""630985910""}, {""@type"": ""subst"", ""@minute"": ""77"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""S. Gomez"", ""@result"": """", ""@playerId"": """", ""@assist"": ""D. Mera"", ""@assistid"": ""537727"", ""@eventid"": ""630985911""}, {""@type"": ""subst"", ""@minute"": ""77"", ""@extra_min"": """", ""@team"": ""localteam"", ""@player"": ""J. A. Solarte Espana"", ""@result"": """", ""@playerId"": """", ""@assist"": ""J. Rodriguez"", ""@assistid"": ""186425"", ""@eventid"": ""630985912""}, {""@type"": ""yellowcard"", ""@minute"": ""80"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""Y. Vega"", ""@result"": """", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""630985913""}, {""@type"": ""subst"", ""@minute"": ""80"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""G. Parra"", ""@result"": """", ""@playerId"": """", ""@assist"": ""J. Asprilla Moreno"", ""@assistid"": ""818028"", ""@eventid"": ""630985914""}, {""@type"": ""subst"", ""@minute"": ""80"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""Y. Vega"", ""@result"": """", ""@playerId"": """", ""@assist"": ""F. Torres"", ""@assistid"": """", ""@eventid"": ""630985915""}, {""@type"": ""yellowcard"", ""@minute"": ""89"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""K. Catano"", ""@result"": """", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""630985916""}, {""@type"": ""yellowcard"", ""@minute"": ""90"", ""@extra_min"": """", ""@team"": ""visitorteam"", ""@player"": ""J. Cajares"", ""@result"": """", ""@playerId"": """", ""@assist"": """", ""@assistid"": """", ""@eventid"": ""630985917""}]}, ""ht"": {""@score"": ""[0-0]""}, ""ft"": {""@score"": ""[0-0]""}}",sport_soccernew/home,3698822,FT,01:10,Estadio Olímpico Jaime Morón León
?,Atl. Nacional,Aug 05,?,Cucuta,Colombia: Copa Colombia - First Stage - Play Offs,6186486,,"{""@status"": ""21:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""21:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Estadio General Santander"", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3699576"", ""@fix_id"": ""4206970"", ""@id"": ""6186486"", ""localteam"": {""@name"": ""Cucuta"", ""@goals"": ""?"", ""@id"": ""8133""}, ""visitorteam"": {""@name"": ""Atl. Nacional"", ""@goals"": ""?"", ""@id"": ""8150""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3699576,21:00,21:00,Estadio General Santander
?,B.93,Aug 05,?,Alholm IF,Denmark: Landspokal Cup,6245074,,"{""@status"": ""16:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""16:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": """", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": """", ""@fix_id"": """", ""@id"": ""6245074"", ""localteam"": {""@name"": ""Alholm IF"", ""@goals"": ""?"", ""@id"": """"}, ""visitorteam"": {""@name"": ""B.93"", ""@goals"": ""?"", ""@id"": ""8693""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,,16:00,16:00,
?,Lyseng,Aug 05,?,ASA Aarhus,Denmark: Landspokal Cup,6291293,,"{""@status"": ""16:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""16:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""ASA grounds"", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3716991"", ""@fix_id"": ""4224386"", ""@id"": ""6291293"", ""localteam"": {""@name"": ""ASA Aarhus"", ""@goals"": ""?"", ""@id"": ""33656""}, ""visitorteam"": {""@name"": ""Lyseng"", ""@goals"": ""?"", ""@id"": ""19651""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3716991,16:00,16:00,ASA grounds
?,Hillerod,Aug 05,?,BK Viktoria,Denmark: Landspokal Cup,6245075,,"{""@status"": ""16:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""16:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": """", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": """", ""@fix_id"": """", ""@id"": ""6245075"", ""localteam"": {""@name"": ""BK Viktoria"", ""@goals"": ""?"", ""@id"": """"}, ""visitorteam"": {""@name"": ""Hillerod"", ""@goals"": ""?"", ""@id"": ""19660""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,,16:00,16:00,
?,Skive,Aug 05,?,Brabrand,Denmark: Landspokal Cup,6291294,,"{""@status"": ""16:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""16:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Brabrand IF&amp;apos;s Idr\u00e6tsanl\u00e6g"", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3716992"", ""@fix_id"": ""4224387"", ""@id"": ""6291294"", ""localteam"": {""@name"": ""Brabrand"", ""@goals"": ""?"", ""@id"": ""8705""}, ""visitorteam"": {""@name"": ""Skive"", ""@goals"": ""?"", ""@id"": ""8794""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3716992,16:00,16:00,Brabrand IF&amp;apos;s Idrætsanlæg
?,SfB-Oure,Aug 05,?,Bramming,Denmark: Landspokal Cup,6291295,,"{""@status"": ""16:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""16:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": """", ""@coveredLive"": ""False"", ""@v"": ""0"", ""@static_id"": ""3716993"", ""@fix_id"": ""4224388"", ""@id"": ""6291295"", ""localteam"": {""@name"": ""Bramming"", ""@goals"": ""?"", ""@id"": ""22394""}, ""visitorteam"": {""@name"": ""SfB-Oure"", ""@goals"": ""?"", ""@id"": ""32701""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3716993,16:00,16:00,
?,Kolding BK,Aug 05,?,Chang Odense,Denmark: Landspokal Cup,6291301,,"{""@status"": ""16:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""16:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": """", ""@coveredLive"": ""False"", ""@v"": ""0"", ""@static_id"": """", ""@fix_id"": """", ""@id"": ""6291301"", ""localteam"": {""@name"": ""Chang Odense"", ""@goals"": ""?"", ""@id"": """"}, ""visitorteam"": {""@name"": ""Kolding BK"", ""@goals"": ""?"", ""@id"": ""22212""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,,16:00,16:00,
?,Naestved,Aug 05,?,Gorslev,Denmark: Landspokal Cup,6245077,,"{""@status"": ""16:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""16:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""G\u00f8rslev Stadion"", ""@coveredLive"": ""False"", ""@v"": ""0"", ""@static_id"": ""3716994"", ""@fix_id"": ""4224389"", ""@id"": ""6245077"", ""localteam"": {""@name"": ""Gorslev"", ""@goals"": ""?"", ""@id"": ""36670""}, ""visitorteam"": {""@name"": ""Naestved"", ""@goals"": ""?"", ""@id"": ""8777""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3716994,16:00,16:00,Gørslev Stadion
?,Young Boys,Aug 05,?,Grenaa IF,Denmark: Landspokal Cup,6245078,,"{""@status"": ""16:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""16:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""HSM Arena Gren\u00e5"", ""@coveredLive"": ""False"", ""@v"": ""0"", ""@static_id"": ""3716995"", ""@fix_id"": ""4224390"", ""@id"": ""6245078"", ""localteam"": {""@name"": ""Grenaa IF"", ""@goals"": ""?"", ""@id"": ""8730""}, ""visitorteam"": {""@name"": ""Young Boys"", ""@goals"": ""?"", ""@id"": ""22390""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3716995,16:00,16:00,HSM Arena Grenå
?,Lyngby,Aug 05,?,Helsingor,Denmark: Landspokal Cup,6245079,,"{""@status"": ""16:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""16:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Helsing\u00f8r Ny Stadion OPV"", ""@coveredLive"": ""True"", ""@v"": ""0"", ""@static_id"": ""3716996"", ""@fix_id"": ""4224391"", ""@id"": ""6245079"", ""localteam"": {""@name"": ""Helsingor"", ""@goals"": ""?"", ""@id"": ""8713""}, ""visitorteam"": {""@name"": ""Lyngby"", ""@goals"": ""?"", ""@id"": ""8763""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3716996,16:00,16:00,Helsingør Ny Stadion OPV
?,F. Amager,Aug 05,?,Ishoj,Denmark: Landspokal Cup,6245082,,"{""@status"": ""16:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""16:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Ish\u00f8j Idr\u00e6tscenter"", ""@coveredLive"": ""False"", ""@v"": ""0"", ""@static_id"": ""3716997"", ""@fix_id"": ""4224392"", ""@id"": ""6245082"", ""localteam"": {""@name"": ""Ishoj"", ""@goals"": ""?"", ""@id"": ""29700""}, ""visitorteam"": {""@name"": ""F. Amager"", ""@goals"": ""?"", ""@id"": ""8698""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3716997,16:00,16:00,Ishøj Idrætscenter
?,Skjold,Aug 05,?,LUIF,Denmark: Landspokal Cup,6245083,,"{""@status"": ""16:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""16:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""LUIF\u00b4s anl\u00e6g"", ""@coveredLive"": ""False"", ""@v"": ""0"", ""@static_id"": ""3716998"", ""@fix_id"": ""4224393"", ""@id"": ""6245083"", ""localteam"": {""@name"": ""LUIF"", ""@goals"": ""?"", ""@id"": ""24657""}, ""visitorteam"": {""@name"": ""Skjold"", ""@goals"": ""?"", ""@id"": ""8796""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3716998,16:00,16:00,LUIF´s anlæg
?,Nykobing,Aug 05,?,Ringsted,Denmark: Landspokal Cup,6291298,,"{""@status"": ""16:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""16:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": ""Ringsted Stadion"", ""@coveredLive"": ""False"", ""@v"": ""0"", ""@static_id"": ""3716999"", ""@fix_id"": ""4224394"", ""@id"": ""6291298"", ""localteam"": {""@name"": ""Ringsted"", ""@goals"": ""?"", ""@id"": ""8788""}, ""visitorteam"": {""@name"": ""Nykobing"", ""@goals"": ""?"", ""@id"": ""8775""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3716999,16:00,16:00,Ringsted Stadion
?,AB Copenhagen,Aug 05,?,Rudersdal,Denmark: Landspokal Cup,6291299,,"{""@status"": ""16:00"", ""@timer"": """", ""@inj_time"": """", ""@inj_minute"": """", ""@date"": ""Aug 05"", ""@formatted_date"": ""05.08.2025"", ""@time"": ""16:00"", ""@commentary_available"": """", ""@heatmap"": """", ""@venue"": """", ""@coveredLive"": ""False"", ""@v"": ""0"", ""@static_id"": ""3717000"", ""@fix_id"": ""4224395"", ""@id"": ""6291299"", ""localteam"": {""@name"": ""Rudersdal"", ""@goals"": ""?"", ""@id"": ""29676""}, ""visitorteam"": {""@name"": ""AB Copenhagen"", ""@goals"": ""?"", ""@id"": ""8681""}, ""events"": null, ""ht"": {""@score"": """"}}",sport_soccernew/home,3717000,16:00,16:00,
